GCAM_region_ID,Land_Type,GLU,mature age,soil_c,veg_c
1,Cropland,GLU223,1,56.65744454,3
1,Forest,GLU223,49.99836567,103.3631118,124.7995853
1,Grassland,GLU223,10.03343411,79.99390473,7.03167442
1,Pasture,GLU223,22.24153904,63.99512379,8.85515326
1,Shrubland,GLU223,47.42670354,72.62913886,9.80415514
1,Tundra,GLU223,50,170,9
1,UrbanLand,GLU223,1,58,3
8,Cropland,GLU223,1,56.42604093,3
8,Forest,GLU223,50,104.0266928,106.0779336
8,Grassland,GLU223,10,80,7
8,Pasture,GLU223,13.29802932,64,7.66385945
8,Shrubland,GLU223,50,80,9
8,UrbanLand,GLU223,1,58,3
